,abody,abody_elim,gpt,gpt_elim
QuestionId,0.0,0.0,0.0,0.0
AnswerId,0.0,0.0,0.0,0.0
vocab_ratios,0.10518884863570505,0.1799648312340232,0.07365429153308535,0.0941432155189124
vocab_coverage,0.12130723287609738,0.21408958060750063,0.117200202025664,0.14193474853145197
ave_readability,0.0390343639225905,0.043869971161517966,0.04169064790715515,0.044745513628408465
ave_readability2,0.03955207194008648,0.044045866924901936,0.029090163031934502,0.030455752994182194
length,1243.833,1405.247,5483.139,4527.792
min,0.569,0.6967741935483871,0.4250666666666666,0.4855522188855522
max,0.0,0.0,0.0,0.0
mean,0.03903436392259053,0.043869971161517994,0.0416906479071551,0.044745513628408444
std,0.0854851740178641,0.1043243705958571,0.0791403287312501,0.08695457284479521
q1,0.053300000000000014,0.05631720430107527,0.06946666666666673,0.07280613947280619
median,0.004699999999999992,0.0029233870967741893,0.008233333333333323,0.008174841508174834
q3,0.000549999999999999,0.00038642473118279434,0.0002666666666666657,0.0003336670003336658
FRE,25.87793,32.89244,47.2309,51.563289999999995
SMOGI,3.5262,6.29,2.3251999999999997,2.5591000000000004
FKGL,4.575,5.5506,7.845,8.690199999999999
CLI,7.205679999999999,9.5999,13.704870000000001,15.073450000000001
ARI,8.7275,11.171700000000001,15.8635,17.4478
DCRS,2.10432,2.1217799999999998,3.9697299999999998,4.14107
LWF,5.570793091579417,6.203120692147922,4.881208638498099,5.100442005556737
GFI,3.65186,4.145519999999999,5.672,6.145009999999999
DW,19.856,23.558,26.104,23.535
TS,4.398,4.517,8.213,8.115
FH,19.190160000000002,24.152260000000002,34.7158,38.043620000000004
SP,19.59676,24.477330000000002,35.754259999999995,39.14895
GP,12.504700000000001,16.01782,24.51386,26.91812
CF,1.4206999999999999,1.9212,2.2771999999999997,2.49
NERF,2.8949988845152066,4.782030113744171,4.779355152654512,5.478889513228272
