,0
QuestionId,76387545.567
AnswerId,76388735.565
vocab_ratios,0.65293064705958
vocab_coverage,0.6854814342067639
ave_readability,4.932086639785377
ave_readability2,4.919360831357813
length,5604.27
min,3.9873147190623923
max,5.0
mean,4.932086639785377
std,0.1674101155842964
q1,4.951999310582559
median,4.997621509824199
q3,4.999379524301965
FRE,24.770429999999998
SMOGI,10.2305
FKGL,14.899400000000002
CLI,23.402300000000004
ARI,38.1283
DCRS,4.602029999999999
LWF,9.2817580204522
GFI,9.203790000000001
DW,22.62
TS,13.343
FH,71.55566
SP,61.01156999999999
GP,15.6621
CF,4.483800000000001
NERF,1.1386635973322903
